65Z0182010040016	西域石窟壁画中的图案艺术	周菁葆
65Z0182010030016	中国新疆塔塔尔族民歌之存现及其原因探析	崔斌;王建朝
65Z0182010030015	汗都春与曲子剧比较研究	肖学俊;韩芸霞
65Z0182010020012	论新疆传统地毯的传承保护与创新	董馥伊
65Z0182010010018	新发现的塔什库尔干河谷大像窟相关问题解析	王征
65D0472010010013	帖木尔王朝时期中亚建筑艺术的主要特点	李琪
65D0472010010011	末泥与胡乐西来	黎国韬
65C1142010010018	略论新疆少数民族题材美术创作的特性和价值	李勇
64C1252010060014	浅论甘肃舟曲藏族果卓的艺术特征	闵冬梅
64C1252010060013	试析尚德义艺术歌曲的三首高峰之作	李英霞
64C1252010010011	试论赫哲族鱼皮服饰审美与手工技艺的传承和保护	孔德明
64C0292010060041	图书封面设计之创意性思维	朱晓灵
64C0292010050038	诗意的空间——人性建筑的审美性质分析	亢宁梅
64C0292010030027	宁夏北朝隋唐墓壁画研究	姚蔚玲
64C0292010010039	造型艺术中亚审美形态的调查与分析	林彬;郑苏淮;秦红梅;陈敏
63C0312010060041	论壮族“板鞋舞”在文化传播中的社会效果	区茵
63C0312010040028	青海民和妇女念唱嘛呢经的调查研究	商文娇
63C0312010040027	土族民俗及民俗音乐	李昕;叶姿含
62Z0132010050004	论悲剧与恐怖的区别	李艳
62Z0072010060028	辩证唯物主义和历史唯物主义观中的艺术起源	祁劲松
62Z0072010050025	从人物造型角度探究中国油画审美意向的时代特征	黄海波
62Z0072010040024	《秩序感》中的“秩序感”	陈琳
62Z0072010030024	儒家思想对雷州半岛传统装饰艺术的影响	李海勇
62Z0072010020024	从自然之景到心象之境——我对山水画创作的认识	方向军
62K0342010030014	唐代乐艺美学思想考论	李浪
62K0342010010013	论大足石刻艺术与科技的完美结合	龙红
62K0342010010011	古代中亚的胡腾舞考释	林春;李金梅
62K0212010060019	高精度壁画图像的实时浏览技术	葛蓉;许端清;杨鑫;刘建明
62K0212010060018	敦煌石窟数字化工作中的洞窟全景漫游技术初步应用	宋利良;李大丁
62K0212010040002	论敦煌艺术的继承与创新(下)	胡同庆
62K0212010030015	敦煌写经永兴郡佛印考	李之檀
62K0212010030006	古代中亚的胡旋舞考释	李金梅;路志峻
62K0212010030002	论敦煌艺术的继承与创新(上)	胡同庆
62K0212010020005	试论敦煌早期壁画的线描艺术	沈淑萍
